226882363	,152
844860156	,11534
5761446592	,0
5761446592	,0
1183650906	,0
2119678740	,0
5680358574	,0
1811653444	,-500
1424113100	,4000
6093352716	,0
878886735	,0
5351127683	,0
1244930166	,0
1934276590	,0
846463124	,0
1728195473	,0
1612917786	,0
933142623	,0
508811020	,0
5036266988	,0
5409956846	,0
1838927636	,0
6837052688	,0
1709392953	,0
6054207960	,0
354037688	,0
1457265184	,0
450082532	,0
1626895292	,-300
2121113562	,0
5657454103	,0
5757173523	,0
1726737726	,200
5540813889	,0
1051467007	,0
2002666662	,-500
1224377415	,750
179488476	,0
1585256782	,0
767744485	,3000
2005919293	,0
6122883257	,100
6182658989	,-3288
5974639048	,0
7084085366	,0
5569939690	,0
1212624943	,0
6780323054	,0
209161746	,0
7113674631	,0
1028942018	,0
1986927090	,0
1549066250	,0
590488459	,0
956616168	,0
176489162	,0
759553856	,0
1684292398	,0
6900232748	,0
1438036791	,-500
1386826580	,0
786202939	,0
815627355	,-5860
5077742534	,0
742635733	,0
5575160449	,0
515308240	,100
5483114393	,0
2072743814	,0
1550127072	,-1000
6990840303	,0
6248958991	,-1500
520444843	,-499,1
5940677714	,-500
6776689229	,90
5094920455	,80
6957140619	,-1000
1020317317	,0
90076205	,0
1312191390	,-299
5190883044	,0
598949684	,-5400
6878664869	,500
6729712186	,0
499267400	,0
1630168523	,1000
504438261	,0
5833708014	,-2700
721510605	,0
995525996	,-2100
1737987499	,0
1714858032	,0
6321838824	,-1300
6836946683	,0
930719032	,0
5291157311	,50
314105497	,0
981788451	,0
1412180733	,0
436143651	,0
5862714795	,0
6994104464	,0
5276296290	,0
551898053	,0
5838339252	,-1000
1363212871	,0
852424937	,0
368671797	,0
6142602190	,-500
941139400	,-500
5632596162	,470
6443630124	,0
748080318	,0
5740460495	,10
87228012	,-500
545119210	,0
5246231207	,0
5171007383	,-500
259598859	,0
6682514303	,-1050
276090868	,0
439103199	,0
827127019	,0
104481509	,500
476524580	,0
686482357	,500
5055397401	,0
1640884545	,0
1995671959	,0
6600979264	,-300
592280086	,0
275508388	,0
6024528586	,0
6749012853	,0
5718280900	,0
286740893	,0
5670543607	,0
1232218904	,0
931361253	,0
5707001578	,0
254585352	,500
1070623315	,0
507175839	,0
313006080	,500
5216778108	,200
467949038	,501
169268147	,581,4
531899610	,500
6073310861	,500
6561326654	,0
1906698377	,0
5314815842	,-500
1165649353	,0
1704844114	,0
6311074822	,0
469007337	,0
5626480734	,0
6929838855	,-500
6358465716	,0
5645348531	,0
1929887800	,1
575389319	,0
6188132594	,0
2028653438	,0
6057623166	,0
756985963	,0
6079434723	,0
1824455696	,0
5283949691	,0
798182001	,0
5092162264	,0
1817249656	,0
5562651392	,50
1055385467	,500
2006861115	,0
473489085	,0
1471205752	,0
1049074622	,0
536189471	,0
5916917686	,0
5657987564	,-500
6942392343	,0
1797807855	,-1000
345495715	,0
582750707	,500
6677756034	,500
922077642	,0
5135825884	,0
1944289827	,-1000
6125855073	,0
643512444	,-500
2028410118	,10
808424329	,1000
6298445685	,0
438339612	,0
1527036185	,0
2062683864	,0
1131487397	,0
729507467	,-500
5754968654	,140
960950084	,0
721880947	,-1500
1688651338	,-2080
5746528121	,0
727146452	,0
855427069	,0
6963875931	,-6990
457906898	,0
7034003696	,0
1578255778	,-500
475584212	,0
304860600	,500
6171590643	,0
1694135069	,0
5824390744	,0
734093374	,0
5633915134	,0
6344423560	,-500
257922122	,700
7453862430	,500
980282778	,0
1194681180	,0
5927502583	,-300
6388312592	,0
1369732698	,0
